model,magnetization,conformity_rate,timestamp,num_agents,temperature
gpt-4o,-1.0,0,20250413_185728,10,0.2
gpt-4o,-0.9,1.0,20250413_185728,10,0.2
gpt-4o,-0.8,1.0,20250413_185728,10,0.2
gpt-4o,-0.7,1.0,20250413_185728,10,0.2
gpt-4o,-0.6,1.0,20250413_185728,10,0.2
gpt-4o,-0.5,1.0,20250413_185728,10,0.2
gpt-4o,-0.3999999999999999,1.0,20250413_185728,10,0.2
gpt-4o,-0.29999999999999993,0.625,20250413_185728,10,0.2
gpt-4o,-0.19999999999999996,0.6666666666666666,20250413_185728,10,0.2
gpt-4o,-0.09999999999999998,0.8,20250413_185728,10,0.2
gpt-4o,0.0,0.8,20250413_185728,10,0.2
gpt-4o,0.10000000000000009,1.0,20250413_185728,10,0.2
gpt-4o,0.20000000000000018,1.0,20250413_185728,10,0.2
gpt-4o,0.30000000000000004,1.0,20250413_185728,10,0.2
gpt-4o,0.40000000000000013,1.0,20250413_185728,10,0.2
gpt-4o,0.5,1.0,20250413_185728,10,0.2
gpt-4o,0.6000000000000001,1.0,20250413_185728,10,0.2
gpt-4o,0.7000000000000002,1.0,20250413_185728,10,0.2
gpt-4o,0.8,0,20250413_185728,10,0.2
gpt-4o,0.9000000000000001,0,20250413_185728,10,0.2
gpt-4o,1.0,0,20250413_185728,10,0.2
gpt-3.5-turbo,-1.0,0,20250413_185728,10,0.2
gpt-3.5-turbo,-0.9,0.6666666666666666,20250413_185728,10,0.2
gpt-3.5-turbo,-0.8,0.5454545454545454,20250413_185728,10,0.2
gpt-3.5-turbo,-0.7,0.34285714285714286,20250413_185728,10,0.2
gpt-3.5-turbo,-0.6,0.6,20250413_185728,10,0.2
gpt-3.5-turbo,-0.5,0.7142857142857143,20250413_185728,10,0.2
gpt-3.5-turbo,-0.3999999999999999,0.5517241379310345,20250413_185728,10,0.2
gpt-3.5-turbo,-0.29999999999999993,0.5625,20250413_185728,10,0.2
gpt-3.5-turbo,-0.19999999999999996,0.5,20250413_185728,10,0.2
gpt-3.5-turbo,-0.09999999999999998,0.5333333333333333,20250413_185728,10,0.2
gpt-3.5-turbo,0.0,0.6363636363636364,20250413_185728,10,0.2
gpt-3.5-turbo,0.10000000000000009,0.47058823529411764,20250413_185728,10,0.2
gpt-3.5-turbo,0.20000000000000018,0.5882352941176471,20250413_185728,10,0.2
gpt-3.5-turbo,0.30000000000000004,0.5428571428571428,20250413_185728,10,0.2
gpt-3.5-turbo,0.40000000000000013,0.5,20250413_185728,10,0.2
gpt-3.5-turbo,0.5,0.5833333333333334,20250413_185728,10,0.2
gpt-3.5-turbo,0.6000000000000001,0.5454545454545454,20250413_185728,10,0.2
gpt-3.5-turbo,0.7000000000000002,0.5454545454545454,20250413_185728,10,0.2
gpt-3.5-turbo,0.8,0,20250413_185728,10,0.2
gpt-3.5-turbo,0.9000000000000001,0,20250413_185728,10,0.2
gpt-3.5-turbo,1.0,0.5,20250413_185728,10,0.2
